user_id,completion_rate,avg_frustration,avg_visual_attention,avg_visual_fatigue,distraction_events_per_hour,drowsiness_events_per_hour,avg_pause_count,intervention_count_per_activity,avg_engagement_score,preference_easy_activities
1001,0.8556,0.1968586406862225,77.82288851284557,0.3417,0.0589,0.0074,2.0444,2.2,1.8652,1.0
1002,0.8706,0.198501254485967,77.73207348408862,0.3571,0.0528,0.0061,2.0471,1.9412,1.9135,0.9524
1003,0.7935,0.22078333999333757,77.55802091534218,0.3461,0.0425,0.0053,1.9891,1.7609,1.8697,0.8
1004,0.8191,0.2260788658135374,77.7629350819578,0.3149,0.0431,0.0051,2.0106,2.0106,1.8903,0.8462
1005,0.8,0.21690511546440078,77.28773325270362,0.3388,0.0265,0.0037,2.0471,1.6941,1.8833,0.875
1006,0.8523,0.20880760020450737,77.8101718379002,0.3149,0.0284,0.0042,2.0114,1.6591,1.9077,0.8696
1007,0.8795,0.21782930574007947,77.43968265311028,0.3377,0.0415,0.0052,1.9518,1.9759,1.9021,0.85
1008,0.8533,0.21120495868228956,77.46874927563086,0.3268,0.0525,0.0074,1.8667,2.1733,1.9322,0.85
1009,0.8,0.20466444259308175,77.11556803360435,0.3487,0.0248,0.0035,2.0,1.9263,1.8821,0.8696
1010,0.8235,0.1916197336700811,78.06622287931475,0.3221,0.0237,0.003,2.0,1.8353,1.8806,0.88
1011,0.7941,0.19602650377406763,77.5091335642391,0.3462,0.0262,0.004,1.7353,1.9265,1.9331,0.8667
1012,0.7973,0.22068954426082757,77.2988528423622,0.3197,0.0198,0.0025,2.0405,2.0,1.9194,0.8
1013,0.8312,0.19226569954941913,77.77810256625017,0.3145,0.0414,0.0048,1.987,1.7532,1.9255,0.7222
1014,0.8974,0.208075387016167,77.74381182647639,0.3589,0.0554,0.0079,1.8718,2.1923,1.9136,0.8571
1015,0.8313,0.20035110391787628,76.98728873124763,0.3234,0.0214,0.0023,1.9759,1.5904,1.9353,0.9565
1016,0.8133,0.1973811863494395,77.38693640510581,0.3333,0.0345,0.004,2.12,1.7467,1.9017,0.7273
1017,0.8267,0.20338119822488704,77.52999383093605,0.3394,0.0469,0.006,1.8933,1.72,1.8944,0.75
1018,0.878,0.20666953868099622,77.32987069232124,0.3382,0.0388,0.0046,1.9146,1.939,1.904,0.8095
1019,0.8615,0.1931566754751773,77.32360167138637,0.3031,0.0364,0.0046,2.2154,1.8154,1.915,0.9444
1020,0.8049,0.20194033966667352,77.32957010817253,0.3356,0.0319,0.0031,1.939,1.8171,1.923,0.8333
1021,0.8281,0.21145006602590866,77.20136936863621,0.3138,0.0195,0.0023,2.125,2.0156,1.8799,0.6667
